coin,timestamp,price $,score_price,weight_price,volume $,score_volume,weight_volume,market_cap $,score_market_cap,weight_market_cap,pc_1h %,score_pc_1h,weight_pc_1h,pc_24h %,score_pc_24h,weight_pc_24h,pc_7d %,score_pc_7d,weight_pc_7d,pc_30d %,score_pc_30d,weight_pc_30d,pc_60d %,score_pc_60d,weight_pc_60d,pc_90d %,score_pc_90d,weight_pc_90d,volume_change %,score_volume_change,weight_volume_change,dominance,score_dominance,weight_dominance,market_pairs,score_market_pairs,weight_market_pairs,circulating_supply,score_circulating_supply,weight_circulating_supply,max_supply,score_max_supply,weight_max_supply,total_supply,score_total_supply,weight_total_supply,beta,score_beta,weight_beta,coin_risk %
TRON,2022-04-11 20:40:54.964349-04:00,0.058291566,67,5,1062962330,50,3,5926122033,41,4,-0.2360776,100,8,-6.41258715,82,6,-17.69011798,84,7,-2.22053625,100,3,-13.66157532,24,7,-10.69190157,50,0,-4.2596,50,0,0.3229,50,0,590,50,0,1.02E+11,50,0,,50,0,1.02E+11,50,0,,,,30.3
Bitcoin,2022-04-18 17:06:57.227622-04:00,40679.99613,50,0,34164837744,50,0,7.74E+11,50,0,-0.00763511,50,0,0.96034695,50,0,1.90641711,50,0,-3.67468625,50,0,-0.67377711,50,0,-2.58306134,50,0,94.3618,50,0,41.1984,50,0,9335,50,0,19015425,50,0,21000000,50,0,19015425,52,1,,,,48
Bitcoin,2022-04-18 17:07:06.504695-04:00,40679.99613,50,0,34164837744,50,0,7.74E+11,50,0,-0.00763511,50,0,0.96034695,50,0,1.90641711,50,0,-3.67468625,50,0,-0.67377711,50,0,-2.58306134,50,0,94.3618,50,0,41.1984,50,0,9335,50,0,19015425,50,0,21000000,50,1,19015425,52,1,,,,49
Ethereum,2022-04-18 23:51:30.089989-04:00,3067.071547,50,8,18604389155,50,8,3.69E+11,50,9,0.26381473,50,8,2.60005822,50,7,3.14488001,50,10,3.80386204,50,0,6.33279954,50,0,-2.89546084,50,0,75.0113,50,0,19.4744,50,0,5650,50,0,120435098.4,50,0,,50,0,120435098.4,50,0,,,,50
Ethereum,2022-04-18 23:52:23.916207-04:00,3067.071547,50,8,18604389155,50,8,3.69E+11,50,9,0.26381473,50,8,2.60005822,50,7,3.14488001,50,10,3.80386204,50,0,6.33279954,50,0,-2.89546084,50,0,75.0113,50,0,19.4744,50,0,5650,50,0,120435098.4,50,0,,50,0,120435098.4,50,0,,,,50
Ethereum,2022-04-19 23:37:55.306979-04:00,3084.071905,50,0,13506914955,50,0,3.71475E+11,50,0,-0.06028841,50,0,1.3169363,90,7,0.80817068,50,0,8.62183982,50,0,9.6120821,50,0,-1.18656136,50,0,-28.9308,50,0,19.3662,50,0,5650,50,0,120449571.7,50,0,,50,0,120449571.7,50,0,0.88,100,10,4.1
Solana,2022-04-20 10:52:35.834330-04:00,107.90639233382038,84,2,1855892848.735802,87,6,35980003835.3445,50,0,-1.83951082,50,0,0.86167224,50,0,4.7519379,50,0,21.10749608,88,0,20.04502085,50,7,-23.32612953,50,9,10.655,50,0,1.8654,50,0,294,50,0,333437186.22374445,50,0,,50,0,511616946.142289,50,0,1.55,89,9,30.599999999999994
Ethereum,2022-04-20 10:56:54.422170-04:00,3103.106535007929,50,0,14909665968.402245,50,0,373788594591.25244,50,0,-1.34948711,50,0,-0.36843857,50,0,1.12793285,50,0,6.94252262,50,0,13.69343654,50,0,-3.00959012,50,0,-13.4273,50,0,19.3962,50,0,5652,50,0,120456255.8115,50,0,,50,0,120456255.8115,50,0,1.1,50,9,50.0
Bitcoin,2022-04-20 10:58:29.437904-04:00,41629.70470751299,73,0,27624067376.329884,50,0,791667390266.1426,50,0,-0.8272704,50,0,0.15960361,50,0,2.74873171,95,0,1.67824268,50,0,4.42389998,50,0,-2.37246201,50,0,-17.0113,91,0,41.0802,50,0,9340,50,0,19016887,50,0,21000000,50,0,19016887,50,0,1.0,50,9,50.0
Ethereum,2022-04-20 11:49:18.259547-04:00,3103.106535007929,87,4,14909665968.402245,78,7,373788594591.25244,50,9,-1.34948711,50,0,-0.36843857,50,0,1.12793285,50,0,6.94252262,50,0,13.69343654,50,0,-3.00959012,50,0,-13.4273,50,0,19.3962,50,0,5652,50,0,120456255.8115,50,0,,50,0,120456255.8115,50,0,1.1,50,0,32.8
